ym:s:browser,ym:s:visits,ym:s:users,ym:s:bounceRate
Mobile Safari,136.0,102.0,33.08823529
Chrome Mobile,95.0,49.0,5.26315789
Яндекс.Браузер,75.0,38.0,13.33333333
Google Chrome,30.0,23.0,66.66666667
Samsung Internet,26.0,10.0,30.76923077
MIUI,24.0,12.0,20.83333333
Яндекс с Алисой: мобильное приложение,20.0,11.0,10.0
Huawei Browser,8.0,3.0,0.0
Firefox,2.0,2.0,100.0
Opera Mobile,2.0,1.0,50.0
Edge,2.0,2.0,0.0
HeadlessChrome,2.0,2.0,100.0
Opera,1.0,1.0,0.0
Safari,1.0,1.0,0.0
Яндекс Старт: мобильное приложение,1.0,1.0,0.0
