ym:s:date,ym:s:visits,ym:s:users,ym:s:pageviews,ym:s:bounceRate,ym:s:pageDepth,ym:s:avgVisitDurationSeconds
2026-08-22,5.0,4.0,10.0,20.0,2.0,88.0
2026-08-24,4.0,1.0,6.0,25.0,1.5,257.25
2026-08-26,13.0,12.0,26.0,15.38461538,2.0,170.76923077
2026-08-27,5.0,5.0,5.0,60.0,1.0,12.2
2026-08-28,2.0,2.0,2.0,0.0,1.0,15.0
2026-08-29,1.0,1.0,1.0,0.0,1.0,16.0
2026-08-31,6.0,6.0,9.0,33.33333333,1.5,26.5
2026-09-01,6.0,5.0,10.0,66.66666667,1.66666667,305.0
2026-09-02,7.0,7.0,10.0,28.57142857,1.42857143,51.0
2026-09-03,5.0,5.0,17.0,80.0,3.4,144.8
2026-09-04,13.0,10.0,35.0,23.07692308,2.69230769,331.0
2026-09-05,10.0,7.0,33.0,30.0,3.3,368.8
2026-09-06,28.0,21.0,69.0,17.85714286,2.46428571,187.21428571
2026-09-07,20.0,13.0,56.0,10.0,2.8,300.1
2026-09-08,7.0,6.0,17.0,14.28571429,2.42857143,151.14285714
2026-09-09,3.0,3.0,4.0,33.33333333,1.33333333,17.66666667
2026-09-10,8.0,7.0,18.0,37.5,2.25,130.25
