ym:pv:URL,ym:pv:pageviews,ym:pv:users
https://photobook-nsk.ru/,176.0,73.0
https://photobook-nsk.ru/school/,77.0,36.0
https://photobook-nsk.ru/kindergarten/,45.0,25.0
https://photobook-nsk.ru/school/#direction/school/albums/school-optimal,10.0,2.0
https://photobook-nsk.ru/?_ym_debug=2`&_ym_status-check=111851028&_ym_lang=ru,3.0,2.0
https://photobook-nsk.ru/#about,2.0,1.0
https://photobook-nsk.ru/school/#direction/school/albums/school-classic,2.0,1.0
https://photobook-nsk.ru/school/#direction/school/process,2.0,2.0
https://photobook-nsk.ru/#contacts,1.0,1.0
https://photobook-nsk.ru/?_ym_debug=1,1.0,1.0
https://photobook-nsk.ru/?_ym_debug=2,1.0,1.0
https://photobook-nsk.ru/?_ym_debug=2`,1.0,1.0
https://photobook-nsk.ru/kindergarten/#direction/kindergarten/albums/kg-more,1.0,1.0
https://photobook-nsk.ru/kindergarten/#direction/kindergarten/questions,1.0,1.0
https://photobook-nsk.ru/school/#direction/school/albums/school-folder,1.0,1.0
https://photobook-nsk.ru/school/#direction/school/albums/school-minimal,1.0,1.0
https://photobook-nsk.ru/school/#direction/school/photos,1.0,1.0
https://photobook-nsk.ru/school/#direction/school/preparation,1.0,1.0
https://photobook-nsk.ru/school/#direction/school/questions,1.0,1.0
